,District,School,City,State,Latitude,Longitude
0,Alabama Youth Services,Sequoyah School - Chalkville Campus,Pinson,Alabama,33.674697,-86.627775
1,Alabama Youth Services,Eufaula School - Eufaula Campus,Clayton,Alabama,31.88235,-85.25664
2,Alabama Youth Services,Camps,Mt Meigs,Alabama,32.3754,-86.0979
3,Alabama Youth Services,Detention Center,Mt Meigs,Alabama,32.3754,-86.0979
4,Alabama Youth Services,Wallace School - Mount Meigs Campus,Mount Meigs,Alabama,32.36892,-86.08119
5,Alabama Youth Services,Mcneel School - Vacca Campus,Birmingham,Alabama,33.58224,-86.71058
7,Albertville City,Albertville High School,Albertville,Alabama,34.26325,-86.20599
12,Marshall County,Asbury School,Albertville,Alabama,34.36277,-86.14224
15,Marshall County,Douglas High School,Douglas,Alabama,34.17686,-86.3203
17,Marshall County,Kate D Smith Dar High School,Grant,Alabama,34.53452,-86.25258
19,Marshall County,Marshall Alternative School,Guntersville,Alabama,34.30515,-86.28796
20,Marshall County,Marshall Technical School,Guntersville,Alabama,34.30515,-86.28796
23,Marshall County,Brindlee Mountain High School,Guntersville,Alabama,34.37655,-86.42324
28,Hoover City,Hoover High School,Hoover,Alabama,33.34718,-86.84308
32,Hoover City,Spain Park High School,Hoover,Alabama,33.38629,-86.72815
44,Madison City,Bob Jones High School,Madison,Alabama,34.71945,-86.74165
51,Al Inst Deaf And Blind,Al School For Deaf,Talladega,Alabama,33.43328,-86.0984
52,Al Inst Deaf And Blind,Al School For Blind,Talladega,Alabama,33.43467,-86.09045
53,Al Inst Deaf And Blind,Helen Keller School,Talladega,Alabama,33.46153,-86.09012
54,Al Inst Deaf And Blind,E H Gentry Tech Fac,Talladega,Alabama,33.42543,-86.11607
55,Al Sch Of Math And Science,Al Sch Of Math And Science,Mobile,Alabama,30.6875,-88.06415
58,Leeds City,Leeds High School,Leeds,Alabama,33.54929,-86.53739
60,Boaz City,Boaz High School,Boaz,Alabama,34.2106,-86.16501
62,Boaz City,Boaz Intermediate School,Boaz,Alabama,34.21328,-86.16033
65,Trussville City,Paine Intermediate School,Trussville,Alabama,33.64991,-86.56524
67,Trussville City,Hewitt-Trussville High School,Trussville,Alabama,33.65652,-86.59523
68,Al Clinical Enterprises,Alabama Clinical Enterprises,Birmingham,Alabama,33.5841,-86.6483
69,Al Boys Industrial School,Safetynet Academy,Minter,Alabama,32.1124,-87.0783
70,Bryce Adolescent School,Bryce Adolescent School,Tuscaloosa,Alabama,33.2082,-87.5374
71,Searcy Hospital,Searcy Hospital,Mt Vernon,Alabama,31.0855,-88.0325
72,Alabama School Of Fine Arts,Alabama School Of Fine Arts,Birmingham,Alabama,33.5201,-86.81322
73,Ucp Of Greater Birmingham,Ucp Of Greater Birmingham,Birmingham,Alabama,33.5286,-86.8075
74,Boyd School,Boyd School,Green Pond,Alabama,33.2174,-87.1261
75,Brewer Porch Children'S Center,Brewer Porch Children'S Center,Tuscaloosa,Alabama,33.2177,-87.5455
76,Three Springs Courtland School,Three Springs Courtland School,Courtland,Alabama,34.6576,-87.3049
77,Three Springs Madison School,Three Springs Madison School,Madison,Alabama,34.7223,-86.7782
78,Three Springs New Beginnings,Three Springs New Beginnings,Owens Crossroads,Alabama,34.5801,-86.4404
79,Three Springs Wilderness School,Three Springs Wilderness School,Trenton,Alabama,34.7433,-86.253
80,Three Springs Tuskegee,Three Springs Tuskegee,Tuskegee,Alabama,32.3755,-85.6591
81,Excell Institute,Excell Institute,Gadsden,Alabama,34.0747,-85.9352
82,Triwill Portacras,Triwill Portacras,Green Pond,Alabama,33.225,-87.1263
83,Three Springs New Direction,Three Springs New Direction,Huntsville,Alabama,34.8012,-86.7208
85,Alexander City,Benjamin Russell High School,Alexander City,Alabama,32.93819,-85.95218
89,Cahaba Center For Mh Mr,Camp Sayla,Abbeville,Alabama,31.599,-85.2259
90,Bradford Oak Mountain,Bradford Oak Mountain,Pelham,Alabama,33.3098,-86.7835
91,Glenwood Mental Health Service,Glenwood Mental Health Service,Birmingham,Alabama,33.4812,-86.6647
92,Higdon Hill,Higdon Hill,Birmingham,Alabama,33.5491,-86.7305
93,Learning Tree Inc,Learning Tree Inc Semmes,Semmes,Alabama,30.7937,-88.2267
94,Learning Tree Inc,Learning Tree Inc Webb,Jacksonville,Alabama,33.921,-85.7263
95,Lee County Youth Development Center,Lee County Youth Development Center,Opelika,Alabama,32.3877,-85.2237
96,Bay Point Center,Bay Point Center,Mobile,Alabama,30.6217,-88.3397
97,Pathway Inc,Pathway Inc,Enterprise,Alabama,31.4121,-85.8664
98,Presbyterian Home For Children,Hope Academy,Talladega,Alabama,33.3846,-86.0476
99,Brantwood Children'S Home,Group Homes For Children Inc,Montgomery,Alabama,32.3598,-86.3088
100,Developing Alabama Youth Prog,Developing Alabama Youth Prog,Alabaster,Alabama,33.2282,-86.8135
101,Laurel Oaks Behavioral Health Center,Laurel Oaks Behavioral Health Center,Dothan,Alabama,31.2046,-85.384
102,Mountainview Hospital,Mountainview Hospital,Gadsden,Alabama,34.0694,-86.0205
103,The Rushton School,The Rushton School,Birmingham,Alabama,33.5467,-86.758
